triplet,A,B,C,cos1,cos2,cos_AC,tjs_log,prod,penalty_term,neg_count,bridge_novelty,TJS_AC,outlier_flag,z_tjs,novelty,metal,is_TM,z_prior_M,z_prior_OH,mTJS2
titanium addition to prussian blue -- stability -- in alkaline solution,titanium addition to prussian blue,stability,in alkaline solution,-0.006893295794725418,0.1475195735692978,0.27551916241645813,5.265994336834426,0.00851441783260369,0.5,1,0.7244808375835419,3.8151119878599933,0,3.025354994354222,0.7244808375835419,titanium,True,0.07801909704749084,2.1304027336960756,6.3769972889933175
titanium doping of prussian blue -- stability -- under basic conditions,titanium doping of prussian blue,stability,under basic conditions,-0.003609464503824711,0.3264894485473633,0.04032156616449356,4.547525074172975,0.017465547126771917,0.5,1,0.9596784338355064,4.364161741010015,0,1.2147312135664432,0.9596784338355064,titanium,True,1.903241837365305,0.7741797052026048,6.18248444610096
titanium incorporation in prussian blue -- stability -- at high ph,titanium incorporation in prussian blue,stability,at high ph,-0.007984061725437641,0.1816275268793106,0.06685113906860352,5.132330935037751,0.009732047872050648,0.5,1,0.9331488609313965,4.789228765953446,0,2.688508108215279,0.9331488609313965,titanium,True,0.9998103529554373,-0.20668399205092253,4.37810282604977
iron doping of prussian blue -- stability -- under basic conditions,iron doping of prussian blue,stability,under basic conditions,0.011556947603821754,0.3264894485473633,0.04147510603070259,3.7646578125657615,0.02317554125762179,0.0,0,0.9585248939692974,3.6085182306202834,0,-0.7581828061863471,0.9585248939692974,iron,True,2.1813282848599385,-0.18587169009275886,3.3256662283943914
zinc addition to prussian blue -- stability -- in alkaline solution,zinc addition to prussian blue,stability,in alkaline solution,0.012843704782426357,0.1475195735692978,0.2916974127292633,4.389022104404982,0.012412861770139694,0.0,0,0.7083025872707367,3.1087557121385023,0,0.8152858074758486,0.7083025872707367,zinc,True,-0.25924765532535604,1.9030987802432573,3.151438667190022
chromium addition to prussian blue -- stability -- in alkaline solution,chromium addition to prussian blue,stability,in alkaline solution,0.020032061263918877,0.1475195735692978,0.2832825183868408,4.280719716606762,0.013832702877028194,0.0,0,0.7167174816131592,3.0680666547781947,0,0.54235154423798,0.7167174816131592,chromium,True,0.48129265393225695,0.824777560588459,2.7421031929851827
chromium doping of prussian blue -- stability -- under basic conditions,chromium doping of prussian blue,stability,under basic conditions,0.024037031456828117,0.3264894485473633,0.0008013742044568062,3.580055143098079,0.027874161145265006,0.0,0,0.9991986257955432,3.5771861792558672,0,-1.2234024066699263,0.9991986257955432,chromium,True,2.005760488240231,-0.04919517741144544,2.7143258036933675
indium doping of prussian blue -- stability -- under basic conditions,indium doping of prussian blue,stability,under basic conditions,-0.01015455275774002,0.3264894485473633,0.05363738164305687,4.699612384885287,0.015001390459361517,0.5,1,0.9463626183569431,4.447537481822758,0,1.5980084334042126,0.9463626183569431,indium,False,0.5554444244500892,-0.03275645406793571,2.659762601202487
barium doping of prussian blue -- stability -- under basic conditions,barium doping of prussian blue,stability,under basic conditions,-0.010627089068293571,0.3264894485473633,0.06819619983434677,4.711542496188041,0.014823485524382606,0.5,1,0.9318038001656532,4.390233202589985,0,1.6280736628507648,0.9318038001656532,barium,False,1.1991645046746633,-0.9568963052114764,2.5910582143828766
cobalt doping of prussian blue -- stability -- under basic conditions,cobalt doping of prussian blue,stability,under basic conditions,0.02850349433720112,0.3264894485473633,0.03647813946008682,3.521477398576295,0.029555737292053904,0.0,0,0.9635218605399132,3.393020454925485,0,-1.3710249463776971,0.9635218605399132,cobalt,True,1.963297726089154,-0.011358197262130592,2.5385332099074147
