triplet,A,B,C,cos1,cos2,cos_AC,tjs_log,prod,penalty_term,neg_count,bridge_novelty,TJS_AC,outlier_flag,z_tjs,novelty,mode,z_prior_NET,z_prior_ADS,mTJS2
polyurethane -- incorporate -- graphene,polyurethane,incorporate,graphene,0.054400503635406494,0.06907448172569275,0.29944726824760437,4.387526864259093,0.012431435862287331,0.0,0,0.7005527317523956,3.07369393039373,0,2.4158081511176874,0.7005527317523956,incorporate,0.963345267587172,1.110410996315871,3.8821441087226876
polyurethane -- incorporate -- reduced graphene oxide,polyurethane,incorporate,reduced graphene oxide,0.054400503635406494,0.051105499267578125,0.2315397411584854,4.55111153954827,0.01055546504384438,0.0,0,0.7684602588415146,3.4973483516978674,0,2.7072329001467743,0.7684602588415146,incorporate,1.2216737228254095,0.03952794391493988,3.471859488973972
polyurethane -- embed -- reduced graphene oxide,polyurethane,embed,reduced graphene oxide,0.11137315630912781,0.0996444821357727,0.2315397411584854,3.7235287719248538,0.02414860240649453,0.0,0,0.7684602588415146,2.8613838838772,0,1.232901029333639,0.7684602588415146,incorporate,1.5876558811594828,0.9859992063322516,2.97429392309513
polyurethane -- incorporate -- graphene oxide,polyurethane,incorporate,graphene oxide,0.054400503635406494,0.1055213138461113,0.27764973044395447,4.120493269672433,0.016236503491574135,0.0,0,0.7223502695560455,2.976439424051753,0,1.9400900060824888,0.7223502695560455,incorporate,0.7492538196627267,0.5344911058943707,2.8172351825956214
polyurethane -- embed -- graphene oxide,polyurethane,embed,graphene oxide,0.11137315630912781,0.1419859379529953,0.27764973044395447,3.47436900423061,0.03098137677444322,0.0,0,0.7223502695560455,2.5097113867431506,0,0.7890249594017705,0.7223502695560455,incorporate,1.1969392630111713,1.4007115323359045,2.627757743077197
polyurethane -- embed -- graphene,polyurethane,embed,graphene,0.11137315630912781,0.193342387676239,0.29944726824760437,3.2373216793376294,0.03926892916311409,0.0,0,0.7005527317523956,2.2679145460212293,0,0.36672710636123007,0.7005527317523956,incorporate,1.3437327242448154,1.7128786689796025,2.5432696760918017
polyurethane -- integrate -- reduced graphene oxide,polyurethane,integrate,reduced graphene oxide,0.15181505680084229,0.08756691962480545,0.2315397411584854,3.5840483534436047,0.027763075697997013,0.0,0,0.7684602588415146,2.7541987253877767,0,0.9844178148851314,0.7684602588415146,incorporate,1.0209857459729208,0.442952015144692,1.9513708745846374
polyurethane -- deposit -- reduced graphene oxide,polyurethane,deposit,reduced graphene oxide,0.16010336577892303,0.08459614962339401,0.2315397411584854,3.5656321196169176,0.0282791040567586,0.0,0,0.7684602588415146,2.740046581574435,0,0.9516094463046646,0.7684602588415146,coat,1.250013829741042,0.06317383536402264,1.7521568124405078
polyurethane -- integrate -- graphene,polyurethane,integrate,graphene,0.15181505680084229,0.18102028965950012,0.29944726824760437,3.065653299647932,0.04662337287977905,0.0,0,0.7005527317523956,2.1476517936741044,0,0.06090130465417917,0.7005527317523956,incorporate,0.8820606020582907,1.445330864595328,1.7464023575654162
polyurethane -- integrate -- graphene oxide,polyurethane,integrate,graphene oxide,0.15181505680084229,0.1401192843914032,0.27764973044395447,3.260507152581412,0.03836893417838652,0.0,0,0.7223502695560455,2.3552282205565973,0,0.40803183560463624,0.7223502695560455,incorporate,0.6631289286769115,0.9785491790866586,1.58874853608011
polyurethane -- mix -- reduced graphene oxide,polyurethane,mix,reduced graphene oxide,0.1940755844116211,0.08109963685274124,0.2315397411584854,3.4420749876979486,0.031998220480984114,0.0,0,0.7684602588415146,2.6450978359982686,0,0.7314934354583741,0.7684602588415146,incorporate,0.8931049744411664,-0.048316005617165814,1.2287036156293414
polyurethane -- deposit -- graphene,polyurethane,deposit,graphene,0.16010336577892303,0.15817490220069885,0.29944726824760437,3.1295323280233904,0.043738247623064955,0.0,0,0.7005527317523956,2.1924024215042204,0,0.17470126653710985,0.7005527317523956,coat,0.9213469933915727,0.6132232187474368,1.218088037570003
polyurethane -- coat -- reduced graphene oxide,polyurethane,coat,reduced graphene oxide,0.3501427173614502,0.0706586018204689,0.2315397411584854,3.0307241959062137,0.04828066080547565,0.0,0,0.7684602588415146,2.3289911000633303,0,-0.0013246054058366394,0.7684602588415146,coat,0.9186926333020828,0.8261461923226937,1.210807928433568
polyurethane -- mix -- graphene,polyurethane,mix,graphene,0.1940755844116211,0.1379554271697998,0.29944726824760437,3.0818277632643487,0.04587533072980477,0.0,0,0.7005527317523956,2.158982858345215,0,0.08971597810547777,0.7005527317523956,incorporate,0.6518521376916867,0.8980448042094032,1.1992631040880124
sponge -- incorporate -- reduced graphene oxide,sponge,incorporate,reduced graphene oxide,0.12791302800178528,0.051105499267578125,-0.0002533160150051117,4.018051214925729,0.017987985522327107,0.0,0,1.0,4.018051214925729,0,1.7575903309643426,1.0,incorporate,0.09602155391654517,-0.8220153173658726,1.1575910094215716
polyurethane -- mix -- graphene oxide,polyurethane,mix,graphene oxide,0.1940755844116211,0.1036854088306427,0.27764973044395447,3.283124895210615,0.03751085597587803,0.0,0,0.7223502695560455,2.3715661530415515,0,0.4483251574434213,0.7223502695560455,incorporate,0.4552988179496584,0.44495572555221014,1.0774690286549844
polyurethane -- deposit -- graphene oxide,polyurethane,deposit,graphene oxide,0.16010336577892303,0.14613448083400726,0.27764973044395447,3.1891103796941516,0.041208514568526596,0.0,0,0.7223502695560455,2.303654742416053,0,0.28083907391485446,0.7223502695560455,coat,0.8059875662478944,0.2996397786560794,1.0041434365884547
sponge -- incorporate -- graphene,sponge,incorporate,graphene,0.12791302800178528,0.06907448172569275,0.083039790391922,3.854466539636552,0.021184901601561244,0.0,0,0.916960209608078,3.534392446112456,0,1.4661655819352555,0.916960209608078,incorporate,-0.5807634610390836,-0.1701974271583168,0.9815495635851519
sponge -- embed -- reduced graphene oxide,sponge,embed,reduced graphene oxide,0.2154458463191986,0.0996444821357727,-0.0002533160150051117,3.225837344929415,0.03972250620752838,0.0,0,1.0,3.225837344929415,0,0.3462678593885927,1.0,incorporate,0.6443944598203138,0.25791882278918954,0.9392395935121327
polyurethane -- coat -- graphene oxide,polyurethane,coat,graphene oxide,0.3501427173614502,0.13355976343154907,0.27764973044395447,2.611148980342463,0.07345010253772499,0.0,0,0.7223502695560455,1.8861641698013714,0,-0.7487943893470298,0.7223502695560455,coat,0.421354729454637,1.3334910897243777,0.5708113201052545
